t,o,h,l,c,v
1577919600,8749.99,8760.0,8746.07,8752.7,2.593316078186035
1577923200,8752.7,8759.39,8751.21,8758.21,1.9538400173187256
1577926800,8758.21,8763.39,8748.77,8758.17,5.921850204467773
1577930400,8758.17,8763.29,8756.54,8761.63,3.289530038833618
1577934000,8761.63,8768.4,8761.62,8767.39,1.4853899478912354
1577937600,8767.39,8767.39,8763.38,8764.17,0.5979400277137756
1577941200,8764.17,8765.71,8759.82,8765.23,1.453320026397705
1577944800,8765.23,8766.04,8761.32,8764.6,1.8166500329971313
1577948400,8764.63,8775.9,8764.63,8771.87,4.113890171051025
1577952000,8772.33,8784.87,8769.02,8781.91,9.877039909362793
1577955600,8782.4,8792.87,8780.66,8791.38,6.945859909057617
1577959200,8791.38,8798.21,8790.62,8794.2,3.80145001411438
1577962800,8794.2,8794.79,8784.16,8784.62,3.4365999698638916
1577966400,8784.62,8795.29,8784.11,8794.83,2.8870999813079834
1577970000,8794.81,8807.39,8794.65,8804.66,4.425464153289795
1577973600,8804.58,8829.71,8791.9,8825.33,4.289605140686035
1577977200,8825.67,8826.9,8782.66,8805.66,2.4800219535827637
1577980800,8805.88,8812.14,8787.42,8811.17,7.845344066619873
1577984400,8811.4,8827.39,8808.66,8826.2,0.9495480060577393
1577988000,8826.2,8826.79,8816.67,8826.39,0.7561579942703247
1577991600,8826.6,8845.89,8825.65,8844.31,0.6727679967880249
1577995200,8844.69,8871.0,8843.84,8871.0,0.9629600048065186
1577998800,8871.0,8876.4,8866.59,8873.81,0.22724199295043945
1578006000,8879.3,8887.99,8878.15,8879.12,0.28925400972366333
1578009600,8879.18,8884.79,8877.77,8882.85,0.3123680055141449
1578013200,8882.85,8887.29,8850.89,8854.33,0.7776389718055725
1578016800,8854.79,8858.69,8812.85,8818.62,2.0093541145324707
1578020400,8818.41,8820.6,8783.69,8803.22,1.0932339429855347
1578024000,8803.42,8818.6,8798.65,8810.88,0.7495279908180237
1578027600,8811.3,8814.72,8787.21,8799.34,0.9770479798316956
1578031200,8799.52,8800.8,8788.88,8798.29,0.7290359735488892
1578034800,8798.29,8805.12,8772.58,8773.7,1.1428940296173096
1578038400,8773.89,8785.59,8760.19,8775.78,1.7721819877624512
1578042000,8775.81,8777.11,8743.68,8756.89,1.453179955482483
1578045600,8756.84,8764.7,8716.19,8726.77,1.3071800470352173
1578049200,8726.7,8745.29,8721.6,8737.39,1.2898340225219727
1578052800,8738.31,8765.1,8736.71,8757.5,1.157446026802063
1578056400,8757.28,8788.32,8756.6,8771.87,1.4163099527359009
1578060000,8771.87,8822.17,8750.22,8807.61,2.5234570503234863
1578063600,8807.61,8818.79,8787.14,8802.81,2.73404598236084
1578067200,8802.67,8820.76,8788.95,8817.78,1.8446029424667358
1578070800,8817.74,8844.68,8817.17,8836.78,1.3151500225067139
1578074400,8836.8,8839.5,8798.82,8817.28,1.7041599750518799
1578078000,8817.35,8826.51,8805.72,8823.95,1.4725010395050049
1578081600,8823.97,8832.5,8793.98,8793.98,1.7174060344696045
1578085200,8793.99,8799.28,8790.99,8793.49,0.3639180064201355
1578265200,8735.91,8761.22,8730.4,8760.18,1.2345490455627441
1578268800,8760.31,8766.3,8750.96,8756.71,1.1344619989395142
1578272400,8756.73,8757.5,8742.47,8745.59,1.0319509506225586
1578276000,8745.69,8753.39,8742.45,8746.68,0.6074169874191284
1578279600,8746.51,8763.52,8746.41,8761.47,0.4872559905052185
1578283200,8761.48,8777.31,8758.72,8770.21,0.538407027721405
1578286800,8770.24,8772.16,8762.46,8763.62,0.3914879858493805
1578290400,8764.3,8765.42,8745.46,8755.91,0.7893019914627075
1578294000,8755.91,8772.01,8752.71,8753.73,0.8461670279502869
1578297600,8753.31,8761.72,8708.9,8711.4,2.0023579597473145
1578301200,8711.35,8723.37,8705.68,8721.49,1.3495149612426758
1578304800,8721.9,8731.59,8718.43,8729.46,0.9370989799499512
1578308400,8729.63,8734.18,8721.77,8730.42,0.9001550078392029
1578312000,8730.48,8748.5,8730.48,8743.98,0.8350380063056946
1578315600,8743.92,8743.92,8723.19,8733.85,1.0285329818725586
1578319200,8733.85,8783.99,8712.49,8781.01,2.33227801322937
1578322800,8780.95,8813.8,8776.01,8807.58,2.2132411003112793
1578326400,8807.58,8820.11,8801.78,8806.79,1.588927984237671
1578330000,8807.05,8807.79,8795.68,8806.0,1.1908210515975952
1578333600,8806.12,8819.77,8804.81,8814.28,0.8419579863548279
1578337200,8814.47,8830.06,8809.5,8823.79,0.916670024394989
1578340800,8824.18,8849.5,8819.78,8846.71,1.347404956817627
1578344400,8846.89,8855.6,8827.52,8832.79,0.32833099365234375
1578351600,8835.52,8840.1,8827.64,8830.32,0.35756099224090576
1578355200,8830.37,8852.16,8828.85,8845.89,0.7436079978942871
1578358800,8845.82,8857.99,8843.69,8853.38,0.6553459763526917
1578362400,8853.71,8863.89,8853.13,8855.89,0.4953159987926483
1578366000,8855.89,8856.5,8850.68,8853.88,0.23861899971961975
1578369600,8854.02,8870.71,8853.57,8863.53,0.3751400113105774
1578373200,8863.53,8864.61,8854.66,8857.41,0.49697598814964294
1578376800,8857.89,8860.42,8842.85,8852.53,0.7002360224723816
1578380400,8852.53,8863.39,8833.65,8846.12,1.3634589910507202
1578384000,8846.15,8875.64,8838.38,8860.9,1.8201450109481812
1578387600,8860.8,8867.17,8848.63,8858.74,1.0328890085220337
1578391200,8858.74,8863.9,8849.38,8857.13,0.9435070157051086
1578394800,8857.11,8863.1,8845.18,8848.36,0.6789180040359497
1578398400,8848.32,8863.21,8846.64,8861.42,0.6371489763259888
1578402000,8861.55,8863.64,8834.32,8838.29,1.037619948387146
1578405600,8838.29,8859.59,8816.84,8839.31,2.227660894393921
1578409200,8839.31,8862.1,8825.4,8859.9,2.6091721057891846
1578412800,8859.9,8872.21,8848.83,8853.31,1.5276249647140503
1578416400,8853.79,8862.69,8848.85,8859.61,1.2190099954605103
1578420000,8859.66,8869.21,8859.38,8868.39,0.796580970287323
1578423600,8868.62,8868.91,8844.87,8855.6,1.1828210353851318
1578427200,8855.9,8864.0,8840.43,8846.13,1.245589017868042
